,0,1
437,6.6,3160.0
438,6.9,3100.0
439,7.4,3220.0
440,8.4,3040.0
441,8.3,3040.0
442,8.3,3040.0
443,9.0,3040.0
444,8.9,3460.0
445,8.0,3520.0
446,9.3,3100.0
447,9.7,3100.0
448,10.5,3160.0
449,8.9,3340.0
450,9.0,3340.0
451,8.2,3220.0
452,8.2,3880.0
453,8.4,3640.0
454,9.2,3580.0
455,9.8,3580.0
456,10.1,3580.0
457,9.1,3880.0
458,8.9,3580.0
459,7.800000000000001,3940.0
460,9.3,3640.0
461,7.800000000000001,3760.0
462,8.0,4000.0
463,8.0,4000.0
464,8.8,3040.0
465,8.5,3100.0
466,7.300000000000001,3580.0
467,6.4,3820.0
468,6.5,3880.0
469,7.6,4000.0
470,10.1,3100.0
471,10.0,3160.0
472,9.6,3160.0
473,9.3,3160.0
474,8.7,3160.0
475,9.7,3040.0
476,11.4,3940.0
477,5.800000000000001,3880.0
478,7.5,4960.0
479,10.5,3160.0
480,10.2,4480.0
481,9.9,3880.0
482,8.8,3460.0
483,10.3,3160.0
484,10.9,4420.0
485,9.2,3820.0
486,9.1,4300.0
487,10.3,4300.0
488,9.8,4300.0
489,8.4,4000.0
490,9.2,4240.0
491,10.4,3220.0
492,9.8,4240.0
493,9.6,4060.0
494,10.6,4060.0
495,9.3,4240.0
496,10.7,4000.0
497,9.4,3940.0
498,10.3,3280.0
499,10.7,4000.0
500,10.5,3880.0
501,10.3,4060.0
502,10.2,4240.0
503,10.4,4300.0
504,10.1,3040.0
505,9.6,4300.0
506,10.2,4300.0
507,10.2,4300.0
508,,
509,9.1,4120.0
510,9.6,4120.0
511,8.1,4120.0
512,8.2,4420.0
513,8.4,4060.0
514,8.9,4060.0
515,8.7,4120.0
516,8.3,4180.0
517,8.1,4180.0
518,8.1,4180.0
519,8.9,4180.0
520,8.6,4180.0
521,8.3,4180.0
522,8.1,4360.0
523,8.2,4420.0
524,9.4,4360.0
525,6.1,3340.0
526,8.7,3820.0
527,8.7,4300.0
528,8.6,3580.0
529,8.5,4300.0
530,8.1,4720.0
531,7.800000000000001,4420.0
532,8.7,4060.0
533,7.9,4240.0
534,7.300000000000001,4300.0
535,8.3,4240.0
536,7.6,4180.0
537,7.5,4420.0
