,0,1
461,0.09999999999999964,2320.0
462,0.0,4000.0
463,0.0,1180.0
464,0.09999999999999964,1060.0
465,0.3000000000000007,700.0
466,0.0,3340.0
467,0.0,760.0
468,0.0,1120.0
469,0.1999999999999993,1900.0
470,0.0,760.0
471,0.0,820.0
472,0.09999999999999964,2200.0
473,0.1999999999999993,820.0
474,0.40000000000000036,2140.0
475,0.3000000000000007,2140.0
476,0.1999999999999993,940.0
477,0.9000000000000004,940.0
478,0.3000000000000007,2140.0
479,0.09999999999999964,1000.0
480,,
481,0.09999999999999964,880.0
482,0.9000000000000004,1120.0
483,0.5999999999999996,1180.0
484,0.3000000000000007,1120.0
485,0.5999999999999996,1060.0
486,0.3000000000000007,760.0
487,0.1999999999999993,2140.0
488,0.09999999999999964,820.0
489,,
490,,
491,,
492,0.0,820.0
493,0.0,1960.0
494,,
495,0.1999999999999993,1900.0
496,0.0,2080.0
497,0.09999999999999964,1900.0
498,0.0,820.0
499,0.09999999999999964,2080.0
500,,
501,1.0999999999999996,1960.0
502,0.40000000000000036,1900.0
503,0.1999999999999993,1780.0
504,0.09999999999999964,2440.0
505,,
506,,
507,0.5,2200.0
508,,
509,,
510,0.3000000000000007,2020.0
511,,
512,0.5,1900.0
513,0.40000000000000036,1960.0
514,0.5,1960.0
515,,
516,,
517,0.0,2020.0
518,,
519,0.09999999999999964,2440.0
520,0.09999999999999964,2260.0
521,,
522,,
523,,
524,,
525,0.0,1900.0
526,,
527,0.9000000000000004,1720.0
528,0.5,1840.0
529,,
530,0.09999999999999964,1840.0
531,0.1999999999999993,1720.0
532,0.09999999999999964,1840.0
533,0.0,1780.0
534,0.40000000000000036,4240.0
535,0.09999999999999964,1660.0
536,0.0,1840.0
537,0.09999999999999964,2020.0
538,0.0,4360.0
539,0.09999999999999964,4600.0
540,,
541,0.0,4000.0
542,0.0,1720.0
543,,
544,0.5999999999999996,1960.0
545,0.3000000000000007,1660.0
546,0.0,2200.0
547,0.09999999999999964,1900.0
548,0.0,2020.0
549,0.0,4960.0
550,0.1999999999999993,2020.0
551,0.0,1840.0
552,0.09999999999999964,1840.0
553,,
554,0.5,1780.0
555,0.0,1900.0
556,0.0,1900.0
557,0.09999999999999964,4960.0
558,0.1999999999999993,1720.0
559,0.09999999999999964,1900.0
560,0.0,1960.0
561,0.09999999999999964,1840.0
562,0.1999999999999993,1780.0
